--nya
-anda
-belas
-compeng
-delapan
-kan
-ku
-lenggang
-mahasiswa
-nya
-sepit
-tak
-wan
-wati
a'du
a'had
ab
abadi
abadiah
abadikan
abah
abaian
abaikan
abaimana
abang
abangan
abangnya
abar
abaran
abatoar
abau
abdas
abdi
abdikasi
abdomen
abdominal
aben
aberasi
abet
abian
abid
abidin
abilah
abis
abiturien
abjadiah
ablasi
ablaut
abnormal
abnormalitas
abnus
aboi
abolisi
abon
abonemen
abrak
abrakadabra
abrar
abras
abreaksi
abrek
abreviasi
abrik
abrikos
absen
absensi
absenteisme
absis
absolusi
absolut
absolutisme
absorpsi
abstain
abstrak
abstraksi
absurd
abtar
abuan
abuhan
abuk
abul
abulhayat
abur
abus
acah
acak
acan
acang
acap
acar
acara
acaram
acat
acatan
acau
acerang
aci
acian
acik
aco
acuan
acuh
acuhan
acum
acuman
acung
acungkan
ada
adaan
adad
adagio
adagium
adakah
adakala
adalah
adalat
adam
adang
adanya
adap
adaptasi
adaptif
adaptor
adapun
adar
adas
adat
adati
adegan
adeh
adekuat
adempauze
adib
adibusana
adicita
adidaya
adigang
adiguna
adigung
adik
adika
adikara
adikarya
adikku
adiknya
adikodrati
adiksi
adiktif
adikuasa
adil
adimarga
adipati
adipenghantar
adipositas
adipura
adiraja
adisiswa
aditif
aditokoh
adiwangsa
adiwarna
adiwidia
adjektiva
administrasi
administratif
admisi
adonan
adoptif
adrenal
adrenalin
adres
adu
aduan
aduh
aduhai
aduk
adukan
adverbial
advertensi
advis
advokasi
aerobatik
aerobik
aerodinamika
aerogram
aerologi
aerometer
aeromovel
aeronautik
aeronautika
aeroskop
aerosol
afdal
afdeling
afdruk
afek
afeksi
afektif
afiat
afiks
afiksasi
afiliasi
afinitas
afirmasi
afirmatif
afrit
afrodisiak
afwah
aga
agah
agak
agaknya
agam
agama
agamaku
agamanya
agamawan
agamawi
agami
agan
agar
agas
agen
agenda
agensi
agih
agihan
agio
agitasi
agitator
aglutinasi
agnostisisme
agraria
agraris
agresi
agresif
agresivitas
agresor
agroindustri
agronomi
aguk
agul
agun
agunan
agus
ah
ahad
ahadiat
ahkam
ahli
ahlulbait
ahlulkitab
ahlulkubur
ahmad
ahmar
aho
ahwal
aidilfitri
air
airmata
airnya
ais
ajab
ajaib
ajak
ajal
ajang
ajar
ajaranmu
ajari
ajek
ajengan
aji
ajir
ajnabi
ajnas
ajojing
aju
ajuan
ajudan
ajujah
ajuk
ajukan
ajun
ajur
ak-ak
akad
akademi
akademikus
akademisi
akaid
akal
akalnya
akan
akanan
akang
akar
akas
akasia
akaun
akhbar
akhir
akhiran
akhirat
akhirnya
akhlak
akhtaj
akhwat
aki
akibat
akidah
akik
akikah
akil
aklamasi
aklimatisasi
akmal
akomodasi
akomodatif
akor
akrab
akreditasi
akrilik
