aa,1325,1.7990766975452948e-05
ab,3693,5.014332259648886e-05
ac,2304,3.128356763127819e-05
ad,95457,0.0012961091646609903
ae,1100,1.493573107396094e-05
af,1107,1.503077663534069e-05
ag,3158,4.287912611960786e-05
ah,6880,9.34162088989557e-05
ai,4016,5.452899635729739e-05
aj,732,9.939050132854007e-06
ak,12305,0.00016707651896826306
al,267792,0.0036360629961437706
am,34542,0.0004690091115970534
an,202805,0.0027536735822314986
ao,990,1.3442157966564845e-05
ap,7187,9.758463566232479e-05
aq,1003,1.3618671151984383e-05
ar,104523,0.0014192067445851083
as,253741,0.00344527939857993
at,275227,0.0037370149602664066
au,2547,3.4583006404889556e-05
av,582,7.902359531859333e-06
aw,13295,0.0001805186769348279
ax,5310,7.209884727521144e-05
ay,169390,0.002299966806016585
az,590,8.01098303057905e-06
ba,4087,5.549302990843487e-05
bb,467,6.340896737763417e-06
bc,2464,3.34560376056725e-05
bd,359,4.874479505047252e-06
be,7850,0.00010658680811872125
bf,69,9.368776764575498e-07
bg,91,1.2355922979367687e-06
bh,160,2.1724699743943185e-06
bi,2524,3.427071384607037e-05
bj,28,3.801822455190057e-07
bk,29,3.937601828589702e-07
bl,151,2.050268538334638e-06
bm,115,1.5614627940959165e-06
bn,324,4.3992516981484945e-06
bo,1950,2.6476977812930755e-05
bp,104,1.412105483356307e-06
bq,72,9.776114884774434e-07
br,68,9.232997391175853e-07
bs,9276,0.0001259489467655106
bt,3068,4.1657111759011053e-05
bu,714,9.694647260734646e-06
bv,92,1.249170235276733e-06
bw,27,3.6660430817904124e-07
bx,171,2.321827285133928e-06
by,6104,8.287972952314325e-05
bz,68,9.232997391175853e-07
ca,9184,0.00012469977653023387
cb,313,4.2498943874088855e-06
cc,1124,1.5261601570120088e-05
cd,268,3.6388872071104835e-06
ce,204511,0.002776837543333478
cf,136,1.8465994782351707e-06
cg,163,2.213203786414212e-06
ch,133770,0.0018163206779670499
ci,1446,1.963369739358865e-05
cj,44,5.974292429584376e-07
ck,76216,0.0010348560723027335
cl,273,3.7067768938103058e-06
cm,168,2.2810934731140344e-06
cn,99,1.3442157966564845e-06
co,5592,7.592782560508143e-05
cp,466,6.327318800423452e-06
cq,49,6.6531892965826e-07
cr,497,6.748234857962352e-06
cs,15037,0.00020417144378104604
ct,61895,0.0008404064316571021
cu,861,1.1690604049709427e-05
cv,24,3.2587049615914774e-07
cw,68,9.232997391175853e-07
cx,35,4.7522780689875716e-07
cy,23299,0.00031635236208383264
cz,132,1.7922877288753128e-06
da,12111,0.00016444239912430993
db,164,2.2267817237541764e-06
dc,1705,2.3150383164639455e-05
dd,3023,4.104610457871265e-05
de,72842,0.0009890441117176934
df,293,3.978335640609595e-06
dg,58,7.875203657179404e-07
dh,300,4.073381201989347e-06
di,3998,5.428459348517803e-05
dj,21,2.851366841392543e-07
dk,41,5.566954309385441e-07
dl,144,1.9552229769548868e-06
dm,103,1.3985275460163425e-06
dn,73,9.911894258174078e-07
do,4817,6.540492416660895e-05
dp,1233,1.6741596740176215e-05
dq,12,1.6293524807957387e-07
dr,403,5.4719087480056896e-06
ds,84010,0.0011406825159304167
dt,773,1.0495745563792551e-05
du,1341,1.820801397289238e-05
dv,54,7.332086163580825e-07
dw,23,3.1229255881918326e-07
dx,59,8.010983030579049e-07
dy,32171,0.0004368158221639976
dz,30,4.073381201989347e-07
ea,15703,0.00021321435004946238
eb,2350,3.190815274891655e-05
ec,2992,4.0625188521173754e-05
ed,729821,0.009909463807390224
ee,54450,0.0007393186881610665
ef,10299,0.00013983917666429428
eg,2147,2.915183146890376e-05
eh,613,8.323275589398232e-06
ei,1551,2.1059380814284925e-05
ej,111,1.5071510447360583e-06
ek,18082,0.0002455162629812379
el,44864,0.0006091605808201669
em,42747,0.0005804160874714621
en,251278,0.003411836938911597
eo,9608,0.00013045682196237882
ep,15661,0.00021264407668118387
eq,51,6.92474804338189e-07
er,573156,0.007782276254024687
es,494237,0.00671071901709203
et,92933,0.00126183845081492
eu,441,5.98787036692434e-06
ev,938,1.2736105224886692e-05
ew,67105,0.0009111474851983171
ex,6841,9.288666934269708e-05
ey,102621,0.001393381507764496
ez,2979,4.0448675335754214e-05
fa,1351,1.8343793346292025e-05
fb,50,6.788968669982246e-07
fc,962,1.3061975721045839e-05
fd,99,1.3442157966564845e-06
fe,21057,0.00028591062656763226
ff,26428,0.00035883772802058157
fg,39,5.295395562586151e-07
fh,26,3.5302637083907676e-07
fi,553,7.508599349000363e-06
fj,24,3.2587049615914774e-07
fk,45,6.11007180298402e-07
fl,1967,2.6707802747710153e-05
fm,53,7.19630679018118e-07
fn,47,6.38163054978331e-07
fo,608,8.25538590269841e-06
fp,356,4.833745693027359e-06
fq,1,1.3577937339964491e-08
fr,69,9.368776764575498e-07
fs,4789,6.502474192108995e-05
ft,16932,0.00022990163504027874
fu,156,2.1181582250344606e-06
fv,7,9.504556137975143e-08
fw,66,8.961438644376564e-07
fx,38,5.159616189186507e-07
