aaaa,64,1.6474344143489066e-06
aaag,1,2.5741162724201666e-08
aaah,13,3.3463511541462167e-07
aaai,4,1.0296465089680666e-07
aaaj,1,2.5741162724201666e-08
aaal,2,5.148232544840333e-08
aaam,1,2.5741162724201666e-08
aaan,2,5.148232544840333e-08
aaar,2,5.148232544840333e-08
aaas,2,5.148232544840333e-08
aaat,1,2.5741162724201666e-08
aaav,1,2.5741162724201666e-08
aaay,9,2.3167046451781498e-07
aaaz,1,2.5741162724201666e-08
aaba,11,2.831527899662183e-07
aabb,3,7.7223488172605e-08
aabd,3,7.7223488172605e-08
aabe,6,1.5444697634521e-07
aabi,13,3.3463511541462167e-07
aabo,4,1.0296465089680666e-07
aabs,9,2.3167046451781498e-07
aabt,1,2.5741162724201666e-08
aabu,1,2.5741162724201666e-08
aacb,1,2.5741162724201666e-08
aacc,1,2.5741162724201666e-08
aace,1,2.5741162724201666e-08
aacf,1,2.5741162724201666e-08
aach,7,1.8018813906941165e-07
aaci,1,2.5741162724201666e-08
aack,4,1.0296465089680666e-07
aacl,1,2.5741162724201666e-08
aaco,2,5.148232544840333e-08
aacp,78,2.00781069248773e-06
aacr,3,7.7223488172605e-08
aacs,27,6.95011393553445e-07
aact,1,2.5741162724201666e-08
aada,23,5.920467426566383e-07
aadc,2,5.148232544840333e-08
aade,33,8.49458369898655e-07
aadg,2,5.148232544840333e-08
aadh,34,8.751995326228567e-07
aadi,33,8.49458369898655e-07
aadl,2,5.148232544840333e-08
aadm,14,3.603762781388233e-07
aado,3,7.7223488172605e-08
aadr,1,2.5741162724201666e-08
aads,3,7.7223488172605e-08
aadu,6,1.5444697634521e-07
aadv,3,7.7223488172605e-08
aady,1,2.5741162724201666e-08
aaed,2,5.148232544840333e-08
aaep,1,2.5741162724201666e-08
aafa,9,2.3167046451781498e-07
aafc,1,2.5741162724201666e-08
aafe,4,1.0296465089680666e-07
aaff,4,1.0296465089680666e-07
aafi,8,2.0592930179361333e-07
aafk,1,2.5741162724201666e-08
aafl,1,2.5741162724201666e-08
aafo,4,1.0296465089680666e-07
aafp,2,5.148232544840333e-08
aafs,1,2.5741162724201666e-08
aaft,1,2.5741162724201666e-08
aaga,11,2.831527899662183e-07
aagb,1,2.5741162724201666e-08
aage,7,1.8018813906941165e-07
aagf,1,2.5741162724201666e-08
aagg,1,2.5741162724201666e-08
aagh,17,4.3759976631142834e-07
aagi,15,3.86117440863025e-07
aagl,1,2.5741162724201666e-08
aagn,1,2.5741162724201666e-08
aago,1,2.5741162724201666e-08
aagr,1,2.5741162724201666e-08
aags,2,5.148232544840333e-08
aagu,1,2.5741162724201666e-08
aagv,1,2.5741162724201666e-08
aagw,1,2.5741162724201666e-08
aaha,4,1.0296465089680666e-07
aahe,1,2.5741162724201666e-08
aahh,6,1.5444697634521e-07
aahi,2,5.148232544840333e-08
aahl,3,7.7223488172605e-08
aahn,1,2.5741162724201666e-08
aaho,3,7.7223488172605e-08
aahr,2,5.148232544840333e-08
aahs,2,5.148232544840333e-08
aaht,1,2.5741162724201666e-08
aahu,16,4.1185860358722666e-07
aaib,5,1.2870581362100832e-07
aaid,2,5.148232544840333e-08
aaii,1,2.5741162724201666e-08
aaik,1,2.5741162724201666e-08
aail,1,2.5741162724201666e-08
aaim,1,2.5741162724201666e-08
aain,5,1.2870581362100832e-07
aair,2,5.148232544840333e-08
aais,2,5.148232544840333e-08
aait,1,2.5741162724201666e-08
aaja,2,5.148232544840333e-08
aaje,2,5.148232544840333e-08
aaji,4,1.0296465089680666e-07
aajk,1,2.5741162724201666e-08
aajn,1,2.5741162724201666e-08
aajo,2,5.148232544840333e-08
aajr,2,5.148232544840333e-08
aaju,1,2.5741162724201666e-08
aaka,11,2.831527899662183e-07
aake,14,3.603762781388233e-07
aakh,1,2.5741162724201666e-08
aaki,6,1.5444697634521e-07
aako,30,7.7223488172605e-07
aaks,2,5.148232544840333e-08
aakt,1,2.5741162724201666e-08
aaku,2,5.148232544840333e-08
aaky,2,5.148232544840333e-08
aala,56,1.4415051125552932e-06
aalb,2,5.148232544840333e-08
aalc,2,5.148232544840333e-08
aald,2,5.148232544840333e-08
aale,15,3.86117440863025e-07
aalf,4,1.0296465089680666e-07
aalg,1,2.5741162724201666e-08
aali,37,9.524230207954616e-07
aalk,1,2.5741162724201666e-08
aall,6,1.5444697634521e-07
aalm,1,2.5741162724201666e-08
aaln,9,2.3167046451781498e-07
aalo,11,2.831527899662183e-07
aals,8,2.0592930179361333e-07
aalt,4,1.0296465089680666e-07
