aaa,15,2.473491101170535e-07
aab,2,3.297988134894047e-08
aac,1,1.6489940674470235e-08
aad,9,1.4840946607023212e-07
aae,2,3.297988134894047e-08
aaf,4,6.595976269788094e-08
aag,1,1.6489940674470235e-08
aah,8,1.3191952539576188e-07
aai,1,1.6489940674470235e-08
aaj,1,1.6489940674470235e-08
aak,3,4.94698220234107e-08
aal,20,3.2979881348940466e-07
aam,25,4.122485168617559e-07
aan,78,1.2862153726086782e-06
aao,1,1.6489940674470235e-08
aap,10,1.6489940674470233e-07
aar,2,3.297988134894047e-08
aas,27,4.452283982106963e-07
aat,7,1.1542958472129164e-07
aau,16,2.6383905079152376e-07
aav,2,3.297988134894047e-08
aay,3,4.94698220234107e-08
aba,18,2.9681893214046424e-07
abb,7,1.1542958472129164e-07
abc,146,2.4075313384726543e-06
abd,35,5.771479236064582e-07
abe,152,2.5064709825194756e-06
abf,6,9.89396440468214e-08
abg,90,1.484094660702321e-06
abh,11,1.8138934741917257e-07
abi,77,1.269725431934208e-06
abj,1,1.6489940674470235e-08
abk,612,1.0091843692775784e-05
abl,6,9.89396440468214e-08
abm,6,9.89396440468214e-08
abn,3,4.94698220234107e-08
abo,4,6.595976269788094e-08
abp,4,6.595976269788094e-08
abr,2,3.297988134894047e-08
abs,78,1.2862153726086782e-06
abt,6,9.89396440468214e-08
abu,1205,1.987037851273663e-05
abw,6,9.89396440468214e-08
aby,27,4.452283982106963e-07
abz,1,1.6489940674470235e-08
aca,7,1.1542958472129164e-07
acb,2,3.297988134894047e-08
acc,25,4.122485168617559e-07
acd,1,1.6489940674470235e-08
ace,168,2.7703100333109994e-06
acf,4,6.595976269788094e-08
acg,1,1.6489940674470235e-08
ach,3,4.94698220234107e-08
aci,14,2.3085916944258328e-07
ack,20,3.2979881348940466e-07
acl,12,1.978792880936428e-07
acm,4,6.595976269788094e-08
acn,2,3.297988134894047e-08
aco,10,1.6489940674470233e-07
acp,12,1.978792880936428e-07
acs,5,8.244970337235117e-08
act,136,2.242631931727952e-06
acv,2,3.297988134894047e-08
ada,71927,0.0011860719628926206
adb,68,1.121315965863976e-06
adc,1,1.6489940674470235e-08
add,39,6.431076863043391e-07
ade,848,1.3983469691950758e-05
