aaaa,31,6.725628443264128e-07
aaab,2,4.3391151246865343e-08
aaah,1,2.1695575623432672e-08
aaak,2,4.3391151246865343e-08
aaal,7,1.518690293640287e-07
aaam,1,2.1695575623432672e-08
aaan,11,2.386513318577594e-07
aaap,1,2.1695575623432672e-08
aaar,2,4.3391151246865343e-08
aaas,1,2.1695575623432672e-08
aaat,3,6.508672687029801e-08
aaaw,1,2.1695575623432672e-08
aaba,5,1.0847787811716335e-07
aabd,2,4.3391151246865343e-08
aabl,2,4.3391151246865343e-08
aabo,1,2.1695575623432672e-08
aabt,1,2.1695575623432672e-08
aabu,4,8.678230249373069e-08
aach,3,6.508672687029801e-08
aaci,1,2.1695575623432672e-08
aaco,1,2.1695575623432672e-08
aacs,1,2.1695575623432672e-08
aacz,1,2.1695575623432672e-08
aada,19,4.1221593684522077e-07
aadh,2,4.3391151246865343e-08
aadi,15,3.2543363435149006e-07
aadr,1,2.1695575623432672e-08
aadu,12,2.6034690748119203e-07
aadz,2,4.3391151246865343e-08
aafa,15,3.2543363435149006e-07
aaff,1,2.1695575623432672e-08
aafi,12,2.6034690748119203e-07
aafk,217,4.70793991028489e-06
aafl,1,2.1695575623432672e-08
aafm,1,2.1695575623432672e-08
aafn,41,8.895186005607396e-07
aafs,1,2.1695575623432672e-08
aafu,1,2.1695575623432672e-08
aaga,6,1.3017345374059602e-07
aage,6,1.3017345374059602e-07
aagi,3,6.508672687029801e-08
aago,1,2.1695575623432672e-08
aagu,6,1.3017345374059602e-07
aaha,20,4.339115124686534e-07
aahd,1,2.1695575623432672e-08
aahe,65,1.4102124155231236e-06
aahh,1,2.1695575623432672e-08
aahi,3,6.508672687029801e-08
aahk,3,6.508672687029801e-08
aahm,1,2.1695575623432672e-08
aahn,36,7.810407224435762e-07
aaho,2,4.3391151246865343e-08
aahs,25,5.423893905858168e-07
aaht,1,2.1695575623432672e-08
aahu,5,1.0847787811716335e-07
aaid,3,6.508672687029801e-08
aaik,6,1.3017345374059602e-07
aail,1,2.1695575623432672e-08
aair,1,2.1695575623432672e-08
aait,1,2.1695575623432672e-08
aaja,1,2.1695575623432672e-08
aaji,2,4.3391151246865343e-08
aaka,34,7.376495711967108e-07
aakh,4,8.678230249373069e-08
aakk,2,4.3391151246865343e-08
aakl,1,2.1695575623432672e-08
aako,11,2.386513318577594e-07
aaks,5,1.0847787811716335e-07
aakt,3,6.508672687029801e-08
aaku,1,2.1695575623432672e-08
aala,376,8.157536434410684e-06
aalb,1,2.1695575623432672e-08
aale,2,4.3391151246865343e-08
aalg,1,2.1695575623432672e-08
aali,9,1.9526018061089404e-07
aall,330,7.159539955732782e-06
aalw,3,6.508672687029801e-08
aalz,1,2.1695575623432672e-08
aama,17,3.688247855983554e-07
aame,1,2.1695575623432672e-08
aamf,1,2.1695575623432672e-08
aamh,3,6.508672687029801e-08
aami,3,6.508672687029801e-08
aamo,2,4.3391151246865343e-08
aamp,1,2.1695575623432672e-08
aamr,1,2.1695575623432672e-08
aamu,9,1.9526018061089404e-07
aana,23,4.989982393389514e-07
aanb,8,1.7356460498746137e-07
aanc,2,4.3391151246865343e-08
aand,23,4.989982393389514e-07
aane,2,4.3391151246865343e-08
aanf,4,8.678230249373069e-08
aang,14,3.037380587280574e-07
aanh,4,8.678230249373069e-08
aani,17,3.688247855983554e-07
aanj,4,8.678230249373069e-08
aank,39,8.461274493138742e-07
aanl,2,4.3391151246865343e-08
aanm,84,1.8224283523683444e-06
aann,3913,8.489478741449204e-05
aano,2,4.3391151246865343e-08
aanp,17,3.688247855983554e-07
aanr,3,6.508672687029801e-08
aans,8,1.7356460498746137e-07
aant,11,2.386513318577594e-07
aanu,7,1.518690293640287e-07
aanv,3,6.508672687029801e-08
aanw,2,4.3391151246865343e-08
aanx,9,1.9526018061089404e-07
aany,256,5.554067359598764e-06
aapa,8,1.7356460498746137e-07
aapi,81,1.7573416254980463e-06
aapn,1,2.1695575623432672e-08
aapp,1,2.1695575623432672e-08
aapr,69,1.4969947180168544e-06
aaps,1,2.1695575623432672e-08
aaqu,1,2.1695575623432672e-08
aara,24,5.206938149623841e-07
aarb,1,2.1695575623432672e-08
aarc,1,2.1695575623432672e-08
aard,12,2.6034690748119203e-07
aare,8,1.7356460498746137e-07
aari,76,1.648863747380883e-06
aark,2,4.3391151246865343e-08
aarl,3,6.508672687029801e-08
aarm,1,2.1695575623432672e-08
aarn,1,2.1695575623432672e-08
aaro,4,8.678230249373069e-08
aarr,1,2.1695575623432672e-08
aars,2,4.3391151246865343e-08
aart,46,9.979964786779029e-07
aaru,124,2.690251377305651e-06
aary,2,4.3391151246865343e-08
aasa,4,8.678230249373069e-08
aasd,1,2.1695575623432672e-08
aase,1,2.1695575623432672e-08
aash,4,8.678230249373069e-08
aasi,13,2.820424831046247e-07
aask,2,4.3391151246865343e-08
aasl,2,4.3391151246865343e-08
aasn,7,1.518690293640287e-07
aaso,4,8.678230249373069e-08
aasp,1,2.1695575623432672e-08
aasr,5,1.0847787811716335e-07
aass,3,6.508672687029801e-08
aast,11,2.386513318577594e-07
aasw,1,2.1695575623432672e-08
aasy,20,4.339115124686534e-07
aata,661,1.4340775487088995e-05
aatb,3,6.508672687029801e-08
aatc,1,2.1695575623432672e-08
aatd,4,8.678230249373069e-08
aate,1,2.1695575623432672e-08
aath,8,1.7356460498746137e-07
aati,23,4.989982393389514e-07
aatk,3286,7.129166149859976e-05
aatl,2,4.3391151246865343e-08
aatm,39,8.461274493138742e-07
aatn,766,1.6618810927549427e-05
aato,1,2.1695575623432672e-08
aatp,1,2.1695575623432672e-08
aats,12,2.6034690748119203e-07
aatt,2,4.3391151246865343e-08
aatu,4,8.678230249373069e-08
aaul,1,2.1695575623432672e-08
aaur,1,2.1695575623432672e-08
aauu,1,2.1695575623432672e-08
aava,3,6.508672687029801e-08
aave,2,4.3391151246865343e-08
aavo,1,2.1695575623432672e-08
aawa,3,6.508672687029801e-08
aawo,1,2.1695575623432672e-08
aawu,5,1.0847787811716335e-07
aaya,11,2.386513318577594e-07
aayu,5,1.0847787811716335e-07
aayy,1,2.1695575623432672e-08
aazh,1,2.1695575623432672e-08
aazi,3,6.508672687029801e-08
abaa,14,3.037380587280574e-07
abab,65,1.4102124155231236e-06
abac,8,1.7356460498746137e-07
abad,325,7.051062077615618e-06
abae,9,1.9526018061089404e-07
abag,72,1.5620814448871523e-06
abah,442,9.58944442555724e-06
abai,577,1.2518347134720652e-05
abaj,2,4.3391151246865343e-08
abak,187,4.05707264158191e-06
abal,364,7.897189526929492e-06
abam,22,4.773026637155188e-07
aban,2565,5.56491514741048e-05
abao,1,2.1695575623432672e-08
abap,4,8.678230249373069e-08
abaq,35,7.593451468201435e-07
abar,4007,8.693417152309471e-05
abas,166,3.6014655534898235e-06
abat,2888,6.265682240047356e-05
abau,5,1.0847787811716335e-07
abaw,92,1.9959929573558057e-06
abay,6163,0.00013370983256721556
abaz,3,6.508672687029801e-08
abba,81,1.7573416254980463e-06
abbb,1,2.1695575623432672e-08
abbe,3,6.508672687029801e-08
abbi,39,8.461274493138742e-07
abbk,1,2.1695575623432672e-08
abbl,2,4.3391151246865343e-08
abbm,1,2.1695575623432672e-08
abbn,1,2.1695575623432672e-08
abbo,2,4.3391151246865343e-08
abbr,1,2.1695575623432672e-08
abbs,17,3.688247855983554e-07
abbt,1,2.1695575623432672e-08
abbu,7,1.518690293640287e-07
abca,25,5.423893905858168e-07
abch,8,1.7356460498746137e-07
abcu,2,4.3391151246865343e-08
abda,10,2.169557562343267e-07
abde,2,4.3391151246865343e-08
